"filename", "language", "Python", "JavaScript", "HTML", "CSS", "XML", "JSON", "Database", "comment", "blank", "total"
"c:\Website\Real site\Trading Web\products\templates\products\partial\featured-section.html", "HTML", 0, 0, 49, 0, 0, 0, 0, 0, 1, 50
"c:\Website\Real site\Trading Web\products\templates\products\partial\main-detail.html", "HTML", 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"c:\Website\Real site\Trading Web\products\templates\products\partial\main-list.html", "HTML", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Website\Real site\Trading Web\products\templates\products\product-index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Website\Real site\Trading Web\products\templates\products\product.html", "HTML", 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Website\Real site\Trading Web\products\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Website\Real site\Trading Web\products\urls.py", "Python", 7, 0, 0, 0, 0, 0, 0, 3, 3, 13
"c:\Website\Real site\Trading Web\products\views.py", "Python", 91, 0, 0, 0, 0, 0, 0, 54, 53, 198
"c:\Website\Real site\Trading Web\search\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Website\Real site\Trading Web\search\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Website\Real site\Trading Web\search\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Website\Real site\Trading Web\search\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Website\Real site\Trading Web\search\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Website\Real site\Trading Web\search\templates\search\partial\deprecated\search-results.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Website\Real site\Trading Web\search\templates\search\partial\deprecated\searchbar-header copy.html", "HTML", 0, 0, 43, 0, 0, 0, 0, 0, 12, 55
"c:\Website\Real site\Trading Web\search\templates\search\partial\search-results.html", "HTML", 0, 0, 47, 0, 0, 0, 0, 0, 1, 48
"c:\Website\Real site\Trading Web\search\templates\search\partial\searchbar-header.html", "HTML", 0, 0, 59, 0, 0, 0, 0, 0, 7, 66
"c:\Website\Real site\Trading Web\search\templates\search\partial\searchbar-product.html", "HTML", 0, 0, 43, 0, 0, 0, 0, 0, 1, 44
"c:\Website\Real site\Trading Web\search\templates\search\svg\search.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\Website\Real site\Trading Web\search\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Website\Real site\Trading Web\search\urls.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
